"MSSubClass","MSZoning","LotArea","Alley","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolQC","Fence","SaleType","SaleCondition","SalePrice"
"X20","RL",9600,"No","Reg","Lvl","Veenker","1Fam","1Story",6,8,1976,0,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",0,284,1262,"Ex","Y","SBrkr",1262,0,0,1262,0,2,0,3,1,"TA",6,1,"TA","Attchd","RFn",2,460,"Y",298,0,0,0,0,1,"No","WD","Normal",12.109010932687
"X60","RL",11250,"No","IR1","Lvl","CollgCr","1Fam","2Story",7,5,2001,1,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","PConc","Gd","TA","Mn","GLQ",486,"Unf",0,434,920,"Ex","Y","SBrkr",920,866,0,1786,1,2,1,3,1,"Gd",6,1,"TA","Attchd","RFn",2,608,"Y",0,42,0,0,0,1,"No","WD","Normal",12.3171666930358
"X70","RL",9550,"No","IR1","Lvl","Crawfor","1Fam","2Story",7,5,1915,55,"Gable","Wd Sdng","Wd Shng","None",0,"TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",0,540,756,"Gd","Y","SBrkr",961,756,0,1717,1,1,0,3,1,"Gd",7,1,"Gd","Detchd","Unf",3,642,"Y",0,35,272,0,0,1,"No","WD","Abnorml",11.8493977015914
"X60","RL",14260,"No","IR1","Lvl","NoRidge","1Fam","2Story",8,5,2000,0,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","PConc","Gd","TA","Av","GLQ",655,"Unf",0,490,1145,"Ex","Y","SBrkr",1145,1053,0,2198,1,2,1,4,1,"Gd",9,1,"TA","Attchd","RFn",3,836,"Y",192,84,0,0,0,1,"No","WD","Normal",12.4292161968444
"X50","RL",14115,"No","IR1","Lvl","Mitchel","1Fam","1.5Fin",5,5,1993,2,"Gable","VinylSd","VinylSd","None",0,"TA","Wood","Gd","TA","No","GLQ",732,"Unf",0,64,796,"Ex","Y","SBrkr",796,566,0,1362,1,1,1,1,1,"TA",5,0,"No","Attchd","Unf",2,480,"Y",40,30,0,320,0,1,"MnPrv","WD","Normal",11.870599909242
"X20","RL",10084,"No","Reg","Lvl","Somerst","1Fam","1Story",8,5,2004,1,"Gable","VinylSd","VinylSd","Stone",186,"Gd","PConc","Ex","TA","Av","GLQ",1369,"Unf",0,317,1686,"Ex","Y","SBrkr",1694,0,0,1694,1,2,0,3,1,"Gd",7,1,"Gd","Attchd","RFn",2,636,"Y",255,57,0,0,0,1,"No","WD","Normal",12.6346030265693
"X50","RM",6120,"No","Reg","Lvl","OldTown","1Fam","1.5Fin",7,5,1931,19,"Gable","BrkFace","Wd Shng","None",0,"TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"Gd","Y","FuseF",1022,752,0,1774,0,2,0,2,2,"TA",8,2,"TA","Detchd","Unf",2,468,"Y",90,0,205,0,0,1,"No","WD","Abnorml",11.7745202026587
"X60","RL",11924,"No","IR1","Lvl","NridgHt","1Fam","2Story",9,5,2005,1,"Hip","WdShing","Wd Shng","Stone",286,"Ex","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"Ex","Y","SBrkr",1182,1142,0,2324,1,3,0,4,1,"Ex",11,2,"Gd","BuiltIn","Fin",3,736,"Y",147,21,0,0,0,1,"No","New","Partial",12.7512996960135
"X20","RL",12968,"No","IR2","Lvl","Sawyer","1Fam","1Story",5,6,1962,0,"Hip","HdBoard","Plywood","None",0,"TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"TA","Y","SBrkr",912,0,0,912,1,1,0,2,1,"TA",4,0,"No","Detchd","Unf",1,352,"Y",140,0,0,0,176,1,"No","WD","Normal",11.8775685785581
"X20","RL",10920,"No","IR1","Lvl","NAmes","1Fam","1Story",6,5,1960,0,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"TA","Y","SBrkr",1253,0,0,1253,1,1,1,2,1,"TA",5,1,"Fa","Attchd","RFn",1,352,"Y",0,213,176,0,0,1,"GdWo","WD","Normal",11.9640010843304
"X45","RM",6120,"No","Reg","Lvl","BrkSide","1Fam","1.5Unf",7,8,1929,72,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"Ex","Y","FuseA",854,0,0,854,0,1,0,2,1,"TA",5,0,"No","Detchd","Unf",2,576,"Y",48,112,0,0,0,1,"GdPrv","WD","Normal",11.7905572015685
"X20","RL",11241,"No","IR1","Lvl","NAmes","1Fam","1Story",6,7,1970,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","CBlock","TA","TA","No","ALQ",578,"Unf",0,426,1004,"Ex","Y","SBrkr",1004,0,0,1004,1,1,0,2,1,"TA",5,1,"TA","Attchd","Fin",2,480,"Y",0,0,0,0,0,1,"No","WD","Normal",11.9117015849276
"X90","RL",10791,"No","Reg","Lvl","Sawyer","Duplex","1Story",4,5,1967,0,"Gable","MetalSd","MetalSd","None",0,"TA","Slab","No","No","No","No",0,"No",0,0,0,"TA","Y","SBrkr",1296,0,0,1296,0,2,0,2,2,"TA",6,0,"No","CarPort","Unf",2,516,"Y",0,0,0,0,0,1,"No","WD","Normal",11.4075649493124
"X20","RL",13695,"No","Reg","Lvl","SawyerW","1Fam","1Story",5,5,2004,0,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"Ex","Y","SBrkr",1114,0,0,1114,1,1,1,3,1,"Gd",6,0,"No","Detchd","Unf",2,576,"Y",0,102,0,0,0,1,"No","WD","Normal",11.9766594812024
"X60","RL",14215,"No","IR1","Lvl","NridgHt","1Fam","2Story",8,5,2005,1,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"Ex","Y","SBrkr",1158,1218,0,2376,0,3,1,4,1,"Gd",9,1,"Gd","BuiltIn","RFn",3,853,"Y",240,154,0,0,0,1,"No","New","Partial",12.6925031124614
"X45","RM",7449,"Grvl","Reg","Bnk","IDOTRR","1Fam","1.5Unf",7,7,1930,20,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"Ex","Y","FuseF",1108,0,0,1108,0,1,0,3,1,"Gd",6,1,"Gd","Attchd","Unf",1,280,"N",0,0,205,0,0,1,"GdPrv","WD","Normal",11.8451027773086
"X20","RL",9742,"No","Reg","Lvl","CollgCr","1Fam","1Story",8,5,2002,0,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"Ex","Y","SBrkr",1795,0,0,1795,0,2,0,3,1,"Gd",7,1,"Gd","Attchd","RFn",2,534,"Y",171,159,0,0,0,1,"No","WD","Normal",12.3458345879053
"X20","RL",8246,"No","IR1","Lvl","Sawyer","1Fam","1Story",5,8,1968,33,"Gable","Plywood","Plywood","None",0,"TA","CBlock","TA","TA","Mn","Rec",188,"ALQ",668,204,1060,"Ex","Y","SBrkr",1060,0,0,1060,1,1,0,3,1,"Gd",6,1,"TA","Attchd","Unf",1,270,"Y",406,90,0,0,0,1,"MnPrv","WD","Normal",11.9447078813958
"X20","RL",14230,"No","Reg","Lvl","NridgHt","1Fam","1Story",8,5,2007,0,"Gable","VinylSd","VinylSd","Stone",640,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,1566,1566,"Ex","Y","SBrkr",1600,0,0,1600,0,2,0,3,1,"Gd",7,1,"Gd","Attchd","RFn",3,890,"Y",0,56,0,0,0,1,"No","WD","Normal",12.4541039123522
"X20","RL",7200,"No","Reg","Lvl","NAmes","1Fam","1Story",5,7,1951,49,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",486,180,900,"TA","Y","SBrkr",900,0,0,900,0,1,0,3,1,"Gd",5,0,"No","Detchd","Unf",2,576,"Y",222,32,0,0,0,1,"No","WD","Normal",11.8115474774603
"X20","RL",11478,"No","Reg","Lvl","NridgHt","1Fam","1Story",8,5,2007,1,"Gable","VinylSd","VinylSd","Stone",200,"Gd","PConc","Ex","TA","No","GLQ",1218,"Unf",0,486,1704,"Ex","Y","SBrkr",1704,0,0,1704,1,2,0,3,1,"Gd",7,1,"Gd","Attchd","RFn",3,772,"Y",0,50,0,0,0,1,"No","WD","Normal",12.6313403809345
"X20","RL",16321,"No","IR1","Lvl","NAmes","1Fam","1Story",5,6,1957,40,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"TA","Y","SBrkr",1600,0,0,1600,1,1,0,2,1,"TA",6,2,"Gd","Attchd","RFn",1,319,"Y",288,258,0,0,0,1,"No","WD","Normal",12.2428866186529
"X70","C (all)",8500,"Pave","Reg","Lvl","IDOTRR","1Fam","2Story",4,4,1920,30,"Gambrel","BrkFace","BrkFace","None",0,"TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"TA","N","SBrkr",649,668,0,1317,0,1,0,3,1,"TA",6,0,"No","Detchd","Unf",1,250,"N",0,54,172,0,0,1,"MnPrv","WD","Normal",10.5966347330961
"X20","RL",8544,"No","IR1","Lvl","Sawyer","1Fam","1Story",5,6,1966,40,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"Gd","Y","SBrkr",1228,0,0,1228,0,1,1,3,1,"Gd",6,0,"No","Attchd","Unf",1,271,"Y",0,65,0,0,0,1,"MnPrv","WD","Normal",11.9140478236443
"X20","RL",11049,"No","Reg","Lvl","CollgCr","1Fam","1Story",8,5,2007,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"Ex","Y","SBrkr",1234,0,0,1234,0,2,0,3,1,"Gd",7,0,"No","Attchd","RFn",2,484,"Y",0,30,0,0,0,1,"No","WD","Normal",12.1001564199386
"X20","RL",10552,"No","IR1","Lvl","NAmes","1Fam","1Story",5,5,1959,0,"Hip","BrkFace","BrkFace","None",0,"TA","CBlock","TA","TA","No","Rec",1018,"Unf",0,380,1398,"Gd","Y","SBrkr",1700,0,0,1700,0,1,1,4,1,"Gd",6,1,"Gd","Attchd","RFn",2,447,"Y",0,38,0,0,0,1,"No","WD","Normal",12.0167264737993
"X120","RL",7313,"No","Reg","Lvl","NridgHt","TwnhsE","1Story",9,5,2005,0,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"Ex","Y","SBrkr",1561,0,0,1561,1,2,0,2,1,"Ex",6,1,"Gd","Attchd","Fin",2,556,"Y",203,47,0,0,0,1,"No","WD","Normal",12.5335762121686
"X20","RL",10859,"No","Reg","Lvl","CollgCr","1Fam","1Story",5,5,1994,1,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1097,1097,"Ex","Y","SBrkr",1097,0,0,1097,0,1,1,3,1,"TA",6,0,"No","Attchd","Unf",2,672,"Y",392,64,0,0,0,1,"No","WD","Normal",11.8844890214027
